축제번호,축제명,소분류,개최장소,축제 기간,축제내용,주관기관,지역 코드
F0400,2014 안양시민축제,문화,"평촌중앙공원, 삼덕공원",9,시민공연마당| 전시체험부스| 특별기회전시| 개폐막 축하공연| 방송국 공개방송| 거리공연 등,(재)안양문화예술재단,I30
F0401,2015 안양 시민축제,문화,"평촌중앙공원, 삼덕공원",10,시민공연마당| 전시체험부스| 특별기회전시| 개폐막 축하공연| 방송국 공개방송 등,(재)안양문화예술재단,I30
F0402,2015 안양 아줌마축제,문화,평촌중앙공원,5,아줌마 축제 개막식 및 폐막식 공연| 주민자치센터 끼열전| 명사초청가요제 등,경인일보,I30
F0403,2017 광복기념음악회,예술,안양아트센터 관악홀,8,안양필하모닉 오케스트라연주| 안양시립합창단 공연 등 (우천으로 안양아트센터 관악홀 실내 진행),(재)안양문화예술재단,I30
F0404,2017 안양충훈벚꽃축제,꽃놀이,안양충훈2교일대,4,축하공연| 안양꽃길걷기대회| 안양꽃길그리기| 어린이벼룩시장| 거리공연| 체험부스 등,(재)안양문화예술재단,I30
F0405,2019 강원 미디어체험 페스티벌(강원 영상콘텐츠 시상식),미디어,강원시청자미디어센터,10,강원도 드론공모전 및 1인 미디어 크리에이터 우수활동가 시상식 및 미디어체험 부스 운영,시청자미디어재단 강원시청자미디어센터,J01
F0406,2019 강원 시민공동체미디어 포럼,미디어,강원시청자미디어센터,11,미디어교육 정보교류 및 제안 등 주제 발표 및 토론 진행,강원시청자미디어센터,J01
F0407,2019 강원청소년 영상캠프 미디어람,미디어,강원시청자미디어센터,7,강원도내 중고생 60명 대상 2박 3일 영상제작 집중캠프,시청자미디어재단 강원시청자미디어센터,J01
F0408,2019 무한청춘 페스티벌,문화,약사천 일대(예정),9,(세부 미정) 청년문화기획 프로그램 등,용역발주 예정,J01
F0409,2019 ''''방방곡곡 마을미디어'''' 마을미디어축제,미디어,강원시청자미디어센터,12,마을미디어활동 성과발표회(스트리밍 진행) 및 포럼,시청자미디어재단 강원시청자미디어센터,J01
F0410,2019 청소년창작영상제,미디어,강원도청소년수련원 3층 극장,12,청소년대상 영상공모전 및 시상식을 개최하여| 청소년들에게 미디어관련 진로탐색 기회 제공,강원도청소년수련원,J01
F0411,강원아트페어춘천전,예술,춘천문화예술회관 전시장,6,전시| 아트페어 등,(사)한국미술협회 춘천지부,J01
F0412,김유정문학제,예술,김유정문학촌,10,김유정문학상 시상식| 이야기대회| 민속놀이| 초청공연 등,(사)김유정기념사업회,J01
F0413,김유정추모제,제,김유정생가마당,3,추모공연| 추모사| 추모문집 봉정| 추모글 낭독 등,(사)김유정기념사업회,J01
F0414,마임교실 운영지원,교육,"축제극장 몸짓, 강원공연예술연습공간 외",5,마임교실운영,(사)춘천마임축제,J01
F0415,문화의거리 문화한마당,문화,춘천시 애막골 길,8,공연 및 시민체험프로그램,(사)춘천마임축제,J01
F0416,봄내예술제,봄,"공지천 야외공연장, 봄내극장, 춘천미술관, 아트플라자갤러리, 국립춘천박물관",5,전시| 음악회| 가요제| 국악무용| 연극 등,춘천예총,J01
F0417,소양강문화제,문화,송암스포츠타운,9,충의제| 문예공연| 동아리경연 등,춘천문화원,J01
F0418,전국관악경연대회,예술,춘천문화예술회관,8,관악경연대회,춘천전국관악경연대회조직위원회,J01
F0419,전국합창경연대회,문화,춘천문화예술회관,8,합창경연대회,강원도음악협회,J01
F0420,정월대보름축제,보름달맞이,공지천야외무대,2,길놀이| 취타대| 공연| 달집태우기 등,춘천문화원,J01
F0421,춘천가족음악축제,가족,공지천야외무대,9,가수공연,KBS춘천방송총국,J01
F0422,춘천국제고음악제,예술,"춘천문화예술회관, 국립춘천박물관, 봄내극장",9,클래식 음악공연,(사)춘천국제고음악제,J01
F0423,춘천연극제,문화,춘천문화예술회관,6,연극경연| 소소연극콘테스트| 연극인 나눔터,(사)춘천연극제,J01
F0424,춘천인음악회,문화,춘천호반체육관,6,음악회,춘천시음악협회,J01
F0425,춘천인형극제,문화,춘천인형극장 등,9,개막퍼레이드| 인형극 경연 및 공연 등,(재)춘천인형극제,J01
F0426,남한강 물축제,자연,"부론면 법천소공원, 남한강변 일원",7,용왕제/당산제/초청공연/풍등띄우기,남한강축제위원회,J02
F0427,원주 다이내믹 댄싱카니발,예술,"따뚜공연장, 젊음의 광장, 원일로, 문화의 거리 등 원주시 일원",9,댄싱카니발/테마가 있는 문화예술공연/프린지 페스티벌/프리댄싱 페스타/군부대 체험행사| 기타 부대행사 등,(재)원주문화재단,J02
F0428,원주 용수골 꽃 양귀비축제,꽃놀이,원주시 판부면 용수골길,5,양귀비 축제 체험장 설치/양귀비 꽃차등 부스 운영,용수골꽃양귀비축제추진위원회,J02
F0429,원주 한지문화제,역사,원주한지테마파크 일원,5,풀뿌리한지등 및 한지조형등전/한지뜨기 한마당/와글와글 종이놀이터/아티스트 워크숍/아트 플리마켓| 소공연 등 부대행사,원주한지문화제위원회,J02
F0430,장미축제,꽃놀이,단계동 장미공원,5,청소년댄스경연대회/장미꽃전시/장미가요제/부대행사,장미축제위원회,J02
F0431,강릉단오제,역사,강릉시 남대천 단오장 및 지정행사장,6,문화재행사| 공연| 체험| 전시| 시민참여행사| 경축부대행사및 난장 등,(사)강릉단오제위원회(사)강릉단오제보존회 외,J03
F0432,강릉망월제,역사,강릉남대천 일원,2,망월제례| 민속놀이 등,임영민속연구회,J03
F0433,강릉커피축제,먹거리,"강릉아레나, 안목해변",10,100인100미 강릉바리스타 퍼포먼스| 커피경연대회(바리스타| 핸드드립| 커핑| 마카롱) | 커피체험(로스팅| 추출| 커핑| 공예품 등)| 전시| 공연 등,강릉문화재단,J03
F0434,난설헌허초희 문화제,역사,허균허난설헌기념공원,4,솔밭음악회|체험|인형극 등,(사)교산·난설헌선양회,J03
F0435,허균문화제,역사,허균허난설헌기념공원,10,재례 및 허균문학 작가상 시상식| 학술대회| 한복체험| 인형극 공연 등,(사)교산·난설헌선양회,J03
F0436,동해무릉제,역사,천곡로타리 일원,10,개막식| 퍼레이드| 공연행사| 체험행사| 동대항 민속경기| 민속예술시연 등,동해문화원,J04
F0437,태백산눈축제,겨울,태백산국립공원 및 시내일원,1,개막행사| 대형눈조각전시| 체험공연프로그램 등,강원도 태백시,J05
